,Station,Address,lat,lon,zipcode,Geo_FIPS,total_population_6.7_km,pop_below_18_6.7_km,pop_between_18_34_6.7_km,pop_between_34_65_6.7_km,pop_over_65_6.7_km,occupied_households_6.7_km,family_households_6.7_km,nonfamily_households_6.7_km,householder_less_than_high_school_6.7_km,householder_high_school_degree_6.7_km,householder_some_college_6.7_km,householder_bachelors_degree_6.7_km,older_than_3_in_school_6.7_km,older_than_3_not_in_school_6.7_km,not_high_school_grad_6.7_km,high_school_grad_6.7_km,employed_6.7_km,unemployed_6.7_km,not_in_labor_force_6.7_km,30_49_percet_income_to_rent_6.7_km,over_50_percent_income_to_rent_6.7_km,commuters_by_car_truck_van_6.7_km,commuters_by_car_truck_van_alone_6.7_km,commuters_by_car_truck_van_carpool_6.7_km,children_living_with_single_parents_6.7_km,private_sector_6.7_km,public_sector_6.7_km,self_employed_6.7_km,private_non-profit_6.7_km,unpaid_family_workers_6.7_km,households_social_security_income_6.7_km,households_SsI_6.7_km,households_retirement_income_6.7_km,housing_units_6.7_km,vacant_units_6.7_km,total_cars_6.7_km,concentrated_disadvantage_6.7_km,commute_time_6.7_km,median_household_income_6.7_km,average_household_size_6.7_km,population_density_6.7_km,median_house_value_6.7_km,ev_car_count_6.7_km,total_sessions,total_connection_time,total_amount,total_kwh,distance_freeway
10,AUI-10259,"4977 N Genesta Ave, Los Angeles, CA",34.161293,-118.503322,91316-3402,6037139600,319987.9474,68320.77472,76956.4193,130366.3161,44344.43726,116286.1643,73905.32364,42380.84071,13961.28812,17779.97283,33031.05425,51513.84914,78312.03518,230247.3647,446.0006708,13916.8513,166885.2345,11947.37586,80588.17396,17813.68983,20688.92752,134270.9646,120055.0177,14215.94699,17050.33586,110048.0445,13883.2271,33140.12351,9489.331759,324.5076489,27292.6315,6776.177626,11781.10638,122157.692,5871.527671,222389.7631,-0.617671981,32.18274499,129260.461,2.799083868,5908.861495,996566.829,5957.05421,205,488:56:00,593.55,2816.475,1.520765681
11,AUI-10228,"4882 N Libbit Ave, Los Angeles, CA",34.1580375,-118.4880218,91436,6037139701,328152.8667,69382.04892,80622.97243,133682.8535,44464.99189,122384.0003,75799.4668,46584.53348,14365.67745,17968.67124,34490.07036,55559.58124,79081.16621,236972.6974,457.3860844,13840.71201,173574.5217,12639.70011,80179.65624,19861.73115,22477.47379,138666.04,123930.8779,14735.16202,17414.33936,114771.0753,13661.67731,34717.28275,10056.75093,367.7354746,27753.46326,6889.561739,12057.25553,128781.193,6397.192681,234140.6393,-0.605753386,31.89974178,130923.2242,2.742654803,6063.60771,1047520.723,6470.018389,195,384:43:00,397.88,1725.87,1.540517411
12,AUI-10345,"5093 Alonzo Ave, Los Angeles, CA",34.1625327,-118.520257,91316,6037139502,294186.236,62020.95396,69593.83923,120695.0243,41876.41858,105102.2219,68140.80243,36961.41949,12194.41717,16101.72388,30268.31698,46537.76389,72993.3887,211469.1759,335.2966978,13050.50929,152565.7169,10453.2581,76477.67399,14500.55815,17248.57811,124581.619,111607.6441,12973.97487,15151.39229,100384.7242,12902.83773,30173.22705,8852.658482,252.2694915,25827.13501,6224.896449,11384.1683,110510.1665,5407.944566,201770.7175,-0.631384152,32.58928016,128852.3685,2.811972925,5431.587296,950486.6046,5369.642237,82,301:43:00,0,1487.609,1.580390937
13,AUI-10248,"20217 Prairie St, Los Angeles, CA",34.2392059,-118.5733855,91311,6037113303,365948.0337,75217.12508,93541.73986,146752.4645,50436.70435,117347.7368,82837.44694,34510.28983,15096.71228,20830.95951,36600.54841,44819.51658,99861.06786,253993.0308,576.093654,19738.73347,186724.0852,11814.84587,101996.689,15226.16602,17534.59777,153519.3727,134160.5222,19358.85045,17547.06838,127902.0516,18656.34271,27537.55282,12330.23052,297.9074842,30554.0863,7378.22313,14634.57793,122963.5791,5615.842316,224058.1746,-0.472647036,31.97285504,86444.75102,2.940227048,6754.296359,580396.833,3344.682786,29,62:49:00,78.53,274.83,2.135999601
14,AUI-10328,"25825 Normandie Ave, Los Angeles, CA",33.7893434,-118.2974987,90710-2805,6037294421,325818.325,76370.46912,73525.82342,128069.4252,47852.60734,106395.673,76436.08983,29959.58316,18279.66449,19473.66142,31741.84677,36900.50031,84990.9145,228115.8806,692.2869431,15217.09047,155172.5053,10886.14239,91587.51304,13701.06299,13312.99415,132225.0456,119142.8054,13082.24019,19948.41442,111701.7324,16938.14575,17134.15975,9091.693953,306.7734269,29476.43846,6688.069206,17259.23316,112792.7739,6397.10089,203064.8916,-0.36493769,28.570113,91858.1932,2.896016256,6018.762028,679168.3171,3503.301402,5,0:22,1,2.31,1.794324228
15,AUI-10237,"25820 S Western Ave, Los Angeles, CA",33.7887512,-118.3074043,90717,6037293307,336675.4257,78799.39722,74383.01066,132837.2523,50655.7655,111015.2589,79888.91989,31126.33897,18009.85276,19751.02829,32571.67081,40682.707,87660.30809,236059.0957,700.498819,15862.20466,160135.6513,10920.9758,95506.48131,13928.34088,13464.29883,136415.6901,123210.9784,13204.71165,20095.19632,114305.3872,17619.28772,18429.27767,9465.559427,316.1392892,31123.26245,6752.753183,18489.04985,117851.3115,6836.052697,212095.5886,-0.427346836,29.01085084,99142.37304,2.874010532,6227.704201,741646.1199,3885.733881,12,4:32,7.01,18.392,2.697257405
16,AUI-10214,"1557 W 19th St, Los Angeles, CA",33.7270625,-118.3105717,90732,6037297000,122984.9226,28045.92572,26320.93151,48620.93221,19997.13316,44639.03332,28920.56329,15718.47003,6771.820426,7979.059312,13857.65999,16030.4936,32007.69494,86640.19328,182.7302768,5699.878157,57938.48869,4402.672014,35313.1901,6132.041566,6549.120102,48104.05843,43863.56554,4240.492894,8046.476004,39540.15405,7002.856095,7657.163346,3642.350394,95.96481128,12526.2452,2483.469607,7756.07772,48076.28148,3437.248155,84926.8198,-0.432530637,30.97926289,104768.5028,2.366673979,5907.362518,906920.2931,1910.510228,35,108:46:00,122.04,671.11,1.810246368
17,AUI-10262,"12412 W Moorpark St, Los Angeles, CA",34.150277,-118.403516,91604,6037143500,403600.0423,74503.6686,110136.0374,167499.6566,51460.67974,164335.3329,89363.04688,74972.28606,17342.26026,21934.48747,47126.46502,77932.12019,88515.05207,301594.8989,542.0029019,14490.08044,221939.2602,17318.47325,98110.78811,26593.19383,31990.69736,175096.4059,159653.5901,15442.81589,18454.92038,147171.304,15887.89116,45921.86042,12537.06143,421.143224,32555.0054,8692.243521,14549.83716,175935.4559,11600.123,315535.13,-0.246222458,31.04557696,112344.2274,2.492171255,7481.239804,1071390.934,7941.316912,217,689:17:00,746.87,2478.211,1.418334271
18,AUI-10224,"23743 W Roscoe Blvd, Los Angeles, CA",34.2193029,-118.644998,91304,6037113231,201092.4412,42110.27965,48275.85601,82635.19842,28071.10715,67799.45125,47548.41039,20251.04086,7431.615233,11664.56704,20862.32577,27840.94321,50226.18093,143331.378,331.2354076,9363.708425,104406.481,6678.64312,53050.65197,8822.509208,9123.751812,84823.91158,74339.03265,10484.87893,10368.85033,74292.02971,8236.223808,15577.77111,6113.773909,186.6824733,17846.92252,3685.034787,8624.581345,70545.83463,2746.383382,129522.5252,-0.314061338,19.58007133,58541.29396,1.760196461,3711.436108,387591.6647,2095.626339,96,189:25:00,123.71,862.152,2.46886808
19,AUI-10269,"17729 Chatsworth Ave, Los Angeles, CA",34.2651037,-118.5208745,91344,6037111202,304206.7155,65179.15741,74687.45487,120479.4176,43860.6856,92389.09852,68328.03699,24061.06154,11537.37118,16728.98631,28056.27132,36066.46972,86893.93998,207256.9929,452.434817,17416.5357,149671.4618,9598.627615,88520.72191,9618.486987,11597.69605,125693.607,111383.9346,14309.67233,13096.63011,97719.00075,17949.41202,22658.62198,11104.14427,240.2827837,25815.21307,5842.561704,13678.57552,96676.17558,4287.077063,176275.8812,-0.628126151,32.91189429,95021.36882,3.202368112,5607.476575,607788.0136,3486.742044,89,246:32:00,112.01,1389.768,1.840021392
20,AUI-10205,"6710 Platt Ave, Los Angeles, CA",34.1925151,-118.6425347,91307,6037135203,210716.4419,44154.19552,49034.96823,86893.27046,30634.00766,72654.38149,50105.2827,22549.0988,7353.968873,11467.54042,21547.89384,32284.97836,51498.71603,151377.2468,288.5226361,9550.966278,108548.8607,6993.093855,56252.6058,8740.922205,9668.936535,88255.28361,77828.65949,10426.62412,10315.38295,75777.59201,8362.177692,18101.64538,6131.562092,175.8835614,19424.98647,3849.717237,9240.69065,76079.9373,3425.555808,139047.3906,-0.434626127,24.96123032,79980.82485,2.138744055,3890.368036,618968.6281,2784.020916,89,152:22:00,164.11,808.296,2.357698217
21,AUI-10255,"290 N Mission Road, Los Angeles, CA",34.0506258,-118.2270707,90033,6037206032,752598.091,165770.5912,238555.5194,270453.4936,77818.48686,238174.8286,141499.2414,96675.58719,82940.873,41418.32508,49616.63107,64198.99944,208801.7718,516718.4277,2205.409886,41196.27057,356178.2888,31583.87071,217932.1452,51320.70172,55214.28036,237108.4712,202711.8293,34396.64191,58603.9775,256947.9548,28045.29916,49561.69027,21089.53892,533.805649,49465.37103,21446.80961,14259.74196,255854.4794,17679.65081,418694.2596,0.37374184,30.89786149,50810.84872,3.060126349,13906.52771,510978.4408,5357.009984,2,0:00,0,0.07,1.322219637
22,AUI-10268,"17832 Plummer Street, Los Angeles, CA",34.2428198,-118.5227509,91330-8449,6037115104,437458.8621,97647.6663,110160.3139,173245.6567,56405.22517,133186.3963,97242.67443,35943.72188,21625.717,25546.39268,40171.69871,45842.58792,123332.3042,298666.0185,703.1998958,24319.12195,216358.4468,15524.58719,120009.7679,17045.93888,20583.01047,179410.7969,157190.1979,22220.59902,23683.75127,146592.4207,22714.08575,32558.47608,14179.6978,313.766394,33787.42029,8786.862343,16827.35587,138973.5629,5787.166626,253058.0209,-0.485419624,32.59900568,86314.22245,3.219192314,8076.660604,575732.6993,3687.461378,20,80:57:00,16.93,306.375,2.644649893
23,AUI-10257,"20321 W Saticoy St, Los Angeles, CA",34.2082681,-118.4721919,91406,6037127300,566471.6314,127918.6838,151951.56,221340.3931,65260.99448,179567.7012,122750.4445,56817.25671,34940.91598,34686.98255,52040.88128,57898.92141,152007.2567,393547.518,1092.284528,29350.64183,286955.4079,22377.64494,144072.7024,29494.77157,35621.22072,233875.2704,205332.9568,28542.31359,33440.4083,199038.7162,25865.79509,45015.80913,16605.66127,429.4262329,40133.51284,12819.83493,17413.59978,187002.0561,7434.354841,339268.8639,-0.262433494,31.82625706,73861.73081,3.232306264,10485.39366,565781.956,5143.344714,6,5:22,10.81,30.082,5.066727533
24,AUI-10274,"651 W 1st, Los Angeles, CA",33.7810202,-118.2694377,90744,6037294810,317205.2202,76497.93759,76734.57021,121868.7247,42103.98774,98650.86486,70669.14431,27981.72055,21432.27811,19537.15012,30206.5718,27474.86484,84876.91645,219621.2671,895.6531643,15481.28503,149399.7561,11835.4145,87360.20596,13747.47523,13879.0901,125115.7809,111256.6649,13859.11602,21918.22445,109817.7632,15895.89481,15077.99545,8307.744487,300.3582369,26171.85319,6990.019003,15070.05856,103996.8567,5345.991798,186990.3128,-0.089635974,27.53804604,69672.00383,2.922133653,5924.417742,505805.4959,2399.268414,14,22:43,0,95.417,2.255628133
25,AUI-10245,"9200 Venice Blvd, Los Angeles, CA",34.0263805,-118.3933239,90034-4000,6037270100,595176.8376,99514.33974,176285.1369,235122.3647,84254.99625,258020.1532,124907.1684,133112.9848,20016.39154,26302.20073,66453.36568,145248.1952,136216.6729,439980.1882,499.4173317,22415.90901,328257.1598,20614.56621,157407.2503,39866.1265,45809.53076,252374.7204,232411.331,19963.38935,23559.83891,209156.2171,34946.66991,58307.92924,25272.88411,573.4594483,55573.09157,10955.99083,27772.82289,280461.8897,22441.73655,490146.1846,-0.115287915,27.6854339,89780.57977,2.342675419,10978.3199,991431.2391,10326.78909,102,200:08:00,350.4,974.938,1.763258071
26,AUI-10216,"4712 W Washington Blvd, Los Angeles, CA",34.0395664,-118.3420489,90016,6037218600,873629.1964,161860.6438,269747.8067,337150.5049,104870.241,343365.9644,173328.6606,170037.3039,60576.53973,53518.9167,86675.15735,142595.3506,210393.4169,634160.6032,1486.278895,38494.65652,462318.2162,35264.4217,231715.6488,68263.86446,80769.85168,328633.5678,297011.8544,31621.7134,53496.5763,315904.2796,36348.74296,80110.44004,29296.57373,658.1798124,67467.29335,22345.74136,27086.00987,375399.1423,32033.17792,626217.5155,0.217551466,30.79099288,66182.49119,2.547484484,16079.46703,822301.5223,7830.854488,80,199:32:00,388.71,1025.825,4.831688037
27,AUI-10273,"13310 W Bluff Creek Dr, Los Angeles, CA",33.9681023,-118.4262923,90293,6037275602,330137.9579,57133.97886,93691.36667,135593.7045,43718.90786,141970.7576,71821.23238,70149.5252,9750.056496,13068.96369,36845.1589,82306.57849,73537.08503,244773.6495,406.9978809,12175.07991,188268.7966,12139.69431,78136.67255,20770.26588,21193.45754,146435.4147,134171.3506,12264.06404,14628.42059,122572.7857,18803.67822,32091.01679,14446.544,354.7718866,28661.25415,4792.815056,15805.76445,152740.1025,10769.34498,273213.3369,-0.32416383,28.60223323,100365.8332,2.380160309,8058.088653,1049507.63,6445.424785,307,838:56:00,1182.76,3781.072,1.230623901
28,AUI-10270,"9037 Loyola Blvd, Los Angeles, CA",33.9574659,-118.4177188,90045,6037276604,324646.1908,62112.13566,87837.4106,132766.5515,41930.09307,131065.1037,71226.84612,59838.2576,13155.85074,13858.29471,36022.24471,68028.71355,76854.87837,235581.7431,490.5387228,13535.88402,177999.6941,12385.40416,78286.07409,19613.09747,20217.3085,140321.7583,127268.4624,13053.29587,17271.74363,117939.8937,17599.81477,29234.57443,12908.02264,317.3885663,27297.12549,4875.712218,15200.46049,140631.6735,9566.569831,251886.8956,-0.298621148,28.80239978,99789.01546,2.458348739,7845.064548,1018188.051,5763.995391,10,21:43,9.6,92.112,2.327653
29,AUI-10232,"1724 W Century Blvd, Los Angeles, CA",33.9453286,-118.3073544,90047,6037238000,754698.6334,203963.7939,199121.8649,277899.6951,73713.27958,223508.5682,157628.1603,65880.40785,66097.56988,52889.9432,69960.19281,34560.86226,217422.574,503549.7825,2210.174327,41494.73809,330042.5409,31379.19214,211809.003,38065.53245,50498.16187,269268.0824,233347.7434,35920.33905,76574.54555,238685.5249,39541.71482,34772.56865,16682.33702,360.3955453,52509.2865,21052.01778,26141.53247,235249.2599,11740.69178,413491.4343,0.637183629,32.28180118,49640.4642,3.354796531,13893.02383,402689.2138,1970.683617,83,283:51:00,247.81,561.294,1.982868996
30,AUI-10256,"8843 S St Andrews Pl, Los Angeles, CA",33.9573684,-118.3116296,90047,6037238400,780040.6372,209303.2839,206692.8939,287446.5916,76597.86786,234037.2502,161863.9552,72173.29497,70526.409,53529.31248,72084.71574,37896.81295,222621.2303,522189.9498,2214.695128,42309.1846,341611.9565,32633.6257,219614.1992,39838.14316,54751.81594,275632.5764,239362.7894,36269.78695,80306.88216,246052.7632,40389.74685,37320.35773,17463.75559,385.3331532,54792.32497,22130.29808,27812.62102,246935.8039,12898.5537,431585.0953,0.681768682,32.79805413,50087.93466,3.296500373,14359.12815,422790.3495,2035.398377,10,11:23,19.49,45.382,2.279602459
31,AUI-10230,"8923 S Western Ave, Los Angeles, CA",33.9556072,-118.3092868,90047,6037238400,785463.8309,211839.1997,208483.3082,289015.8206,76125.50238,233903.0973,162860.6202,71042.47706,71356.34028,53862.91493,71958.86913,36724.97296,225158.9542,524735.1002,2246.464778,42815.21809,343355.3121,32820.3425,220795.1971,39966.4883,54633.67191,277147.4347,240480.0733,36667.36148,81214.06494,248044.4668,40369.44348,37158.48178,17399.92377,382.9962956,54396.88468,22240.63082,27496.8461,246692.762,12789.6647,431324.4071,0.687287975,32.77417908,49528.46121,3.329601304,14461.18234,414691.984,1974.999903,12,9:38,3.13,33.759,2.081092321
32,AUI-10234,"3145 S Vermont Ave, Los Angeles, CA",34.0262389,-118.291681,90089,6037221900,997247.4927,221426.8082,306443.1881,369766.262,99611.23438,333721.4402,191726.05,141995.3902,98859.27028,63929.89485,80654.72481,90277.55024,268207.8989,691574.5723,2663.946118,51319.52604,477328.3811,40013.75879,282682.7801,72304.88762,86482.21507,322644.1783,281665.3898,40978.78859,82524.29741,343127.943,36503.27169,71497.41791,25565.81023,633.9382609,65629.13755,29487.13952,23572.86058,361084.3217,27362.88152,589349.4855,0.555732016,32.74684379,47490.09314,2.966011645,18366.99846,565816.7003,5422.17764,59,101:36:00,189.17,328.317,1.655510065
33,AUI-10240,"3540 W 3rd St, Los Angeles, CA",34.0687591,-118.2931096,90020,6037211921,920873.7024,161183.1031,304000.8902,353834.0828,101855.6263,356402.8664,171395.7888,185007.0775,74675.40185,56100.855,82790.29203,142836.3175,217135.2675,674587.3428,1995.839859,38931.34378,488615.9402,39044.34187,249056.3549,79892.26419,87811.49446,319574.894,284899.0135,34675.88044,56268.47705,335979.6925,32781.14538,87388.74403,31785.85141,680.5068499,63431.83364,27111.99427,19689.31045,391406.3859,35003.51955,634310.3196,0.558923054,30.31018875,60729.64047,2.553728266,16999.65158,790474.038,8188.659739,107,206:19:00,264.46,742.586,1.292231052
34,AUI-10239,"19054 N Kittridge St, Los Angeles, CA",34.1902212,-118.5485848,91335,6037132502,407490.332,85968.55868,105062.0309,162489.1816,53970.56083,136596.3367,92028.63103,44567.70566,17891.38748,23442.47922,41970.63822,53291.83176,108766.5323,284331.5402,598.0061456,19996.08541,208970.5963,13758.46408,108679.5623,18989.86104,22901.03723,170069.3903,149819.4221,20249.9682,22344.04207,143458.0929,18552.56026,34115.72047,12560.20871,284.0139125,33493.33221,8601.343009,14929.3862,143831.1114,7234.774758,260870.0909,-0.497783079,32.68911798,91653.09941,3.00453563,7522.466461,707938.3714,4543.396506,143,243:50:00,404.4,1278.258,1.784728336
35,AUI-10225,"23385 W Burbank Blvd, Los Angeles, CA",34.1722467,-118.6443485,91367,6037137302,179373.368,37261.4209,40432.80811,74505.91402,27173.22494,63329.8662,43787.42547,19542.44073,5266.720956,9011.322929,18360.61108,30691.21123,44190.90379,128883.3777,266.7421442,8217.906473,91691.65628,5978.769509,48890.48565,6906.434662,7757.456868,74627.07156,66945.13367,7681.937898,7998.416673,62774.93988,6950.181638,16724.81966,5109.657556,132.057536,17172.91511,3152.670821,8211.498507,66262.53824,2932.672039,121454.9851,-0.542474667,28.49113693,98206.36841,2.35146798,3310.733226,783515.8303,2896.363251,43,75:51:00,47,367.331,1.741275223
36,AUI-10223,"18401-18435 Kittridge St, Los Angeles, CA",34.1902425,-118.5335015,91335,6037132700,402118.1033,85309.82578,104028.9237,160190.6724,52588.68134,135023.4452,90154.36175,44869.08346,18620.83903,23247.75551,41273.29371,51881.55694,108124.5816,280127.7271,669.7582457,19826.78802,205960.6162,13767.03221,106791.6191,19443.34609,23414.50549,167771.4003,147431.4235,20339.97676,21966.94983,141197.6561,18421.31346,34085.77139,12019.27667,236.5985348,32546.20279,8495.304679,14501.03148,142138.4854,7115.040213,257733.5349,-0.513122411,32.65729846,92800.93717,3.016348076,7422.976705,726792.9284,4818.093086,9,175:42:00,4.34,63.564,2.014073723
37,AUI-10203,"6813 N Hayvenhurst Ave, Los Angeles, CA",34.166923,-118.4923732,91436,6037980024,375849.4995,81094.71473,93051.44242,152481.373,49221.9693,135041.5975,85894.81007,49146.78746,17866.57066,21465.39773,38654.30985,57055.31928,92256.38376,269629.6572,603.6545663,16380.46876,196239.5291,14575.33575,92823.70074,21800.78898,25585.80847,157645.9453,140012.6434,17633.30194,21135.20776,131642.0855,15720.61754,37458.94804,11073.28658,344.5914142,30665.09409,8076.894659,13189.82478,141681.4321,6639.834593,257732.4658,-0.539749423,32.29124501,118454.4378,2.834994854,6943.040024,944968.8736,6339.807738,29,48:48:00,91.64,235.361,1.427323909
